iter	RMSE
0	57.19546743
1	54.72716276
2	52.34917369
3	50.15681617
4	47.96920141
5	45.88523512
6	43.92697191
7	42.18848024
8	40.5889819
9	38.81576295
10	37.16471977
11	35.5817026
12	34.22121753
13	32.92220217
14	31.53686548
15	30.23617469
16	29.04987549
17	27.88144261
18	26.75033659
19	25.69447135
20	24.76145975
21	23.73718487
22	22.83565101
23	21.93669825
24	21.0958007
25	20.31932009
26	19.52843593
27	18.79402329
28	18.11620691
29	17.46029924
30	16.86280635
31	16.31080881
32	15.73221976
33	15.24033587
34	14.72266779
35	14.21953297
36	13.74394442
37	13.28992305
38	12.85583236
39	12.44155116
40	12.11027769
41	11.72581553
42	11.37742047
43	11.00644786
44	10.6835852
45	10.35492493
46	10.03668368
47	9.791884399
48	9.51351936
49	9.285301151
50	9.091408784
51	8.862982572
52	8.625343932
53	8.399260181
54	8.18202384
55	7.968503748
56	7.79123387
57	7.656015695
58	7.474757678
59	7.307586349
60	7.186183573
61	7.047015501
62	6.891424989
63	6.76499825
64	6.634773821
65	6.505590322
66	6.39794552
67	6.28786814
68	6.183239185
69	6.081856341
70	5.987046888
71	5.898045522
72	5.810286492
73	5.73152135
74	5.676976405
75	5.609107437
76	5.545667599
77	5.483190048
78	5.416395421
79	5.352495986
80	5.311747472
81	5.258957216
82	5.202534398
83	5.156599661
84	5.116485628
85	5.081082007
86	5.030834485
87	4.983571948
88	4.954824108
89	4.9113077
90	4.886149196
91	4.849737096
92	4.825463257
93	4.795054916
94	4.769367421
95	4.751988407
96	4.726875071
97	4.695229718
98	4.666049245
99	4.630747106
100	4.602556255
101	4.580238477
102	4.558003863
103	4.533804114
104	4.514373344
105	4.49162634
106	4.457336887
107	4.44238814
108	4.418601746
109	4.398127733
110	4.382207254
111	4.370120407
112	4.356940864
113	4.3464146
114	4.326752779
115	4.316872243
116	4.292794223
117	4.270072294
118	4.259448512
119	4.247210624
120	4.228744437
121	4.218877217
122	4.204346864
123	4.192773873
124	4.178306138
125	4.15939746
126	4.149766714
127	4.135769267
128	4.127860753
129	4.113583922
130	4.105513302
131	4.089562893
132	4.084392548
133	4.074310297
134	4.066031867
135	4.056739702
136	4.047861575
137	4.038374605
138	4.030789578
139	4.015919647
140	4.003547175
141	3.993317603
142	3.986865351
143	3.97371819
144	3.97069491
145	3.957237852
146	3.940280771
147	3.933662912
148	3.927306745
149	3.91374918
150	3.910654635
151	3.902585963
152	3.899148262
153	3.89313513
154	3.88421277
155	3.871651664
156	3.867074081
157	3.86319608
158	3.857395911
159	3.850812771
160	3.845629756
161	3.841373043
162	3.837625812
163	3.822785797
164	3.82035658
165	3.80408977
166	3.795034582
167	3.789104299
168	3.78499059
169	3.779127817
170	3.7649719
171	3.758014323
172	3.755031116
173	3.748492245
174	3.743710577
175	3.733174741
176	3.725792792
177	3.720229726
178	3.714546099
179	3.708808552
180	3.699498168
181	3.69021843
182	3.689023463
183	3.680313849
184	3.674560499
185	3.66737201
186	3.665376664
187	3.661895368
188	3.654764413
189	3.651659047
190	3.641211948
191	3.633897004
192	3.626800655
193	3.621424927
194	3.613595429
195	3.6095347
196	3.601230394
197	3.596684487
198	3.586793251
199	3.583949089
200	3.581717468
201	3.574819978
202	3.569939522
203	3.564018715
204	3.558289207
205	3.54960492
206	3.543371467
207	3.537955019
208	3.532137221
209	3.527014978
210	3.518727311
211	3.516086151
212	3.509422322
213	3.501713845
214	3.495399445
215	3.487935864
216	3.483431655
217	3.478812696
218	3.475857894
219	3.466425297
220	3.464216996
221	3.459358264
222	3.455242964
223	3.451214334
224	3.445808465
225	3.438549287
226	3.436547667
227	3.433467849
228	3.427946159
229	3.422866917
230	3.420003369
231	3.410748808
232	3.408236893
233	3.403903093
234	3.40193324
235	3.394967779
236	3.392971304
237	3.391119829
238	3.386132488
239	3.381812588
240	3.376724935
241	3.37090473
242	3.366587547
243	3.363439201
244	3.36068127
245	3.355117087
246	3.347905492
247	3.343133007
248	3.337624455
249	3.333786463
250	3.332276603
251	3.330696236
252	3.327629139
253	3.322884361
254	3.320398106
255	3.316095414
256	3.312313211
257	3.305789785
258	3.299317544
259	3.296407711
260	3.289340685
261	3.287209399
262	3.285114588
263	3.277661226
264	3.274885372
265	3.271864282
266	3.267682751
267	3.260138075
268	3.257301425
269	3.251694166
270	3.245976509
271	3.244423703
