iter	Passed	Remaining
0	183	183560
1	188	94061
2	192	64049
3	196	48877
4	200	39966
5	205	34055
6	209	29731
7	212	26380
8	215	23738
9	218	21632
10	220	19858
11	223	18380
12	225	17118
13	227	16042
14	229	15092
15	232	14276
16	234	13540
17	236	12875
18	237	12280
19	239	11741
20	241	11260
21	243	10815
22	244	10404
23	246	10041
24	248	9707
25	250	9395
26	252	9101
27	254	8828
28	256	8576
29	257	8336
30	259	8110
31	261	7902
32	263	7729
33	265	7546
34	267	7372
35	269	7204
36	270	7050
37	272	6902
38	274	6759
39	276	6624
40	277	6497
41	279	6384
42	281	6269
43	283	6157
44	285	6051
45	286	5949
46	288	5850
47	290	5755
48	291	5664
49	294	5587
50	295	5503
51	297	5422
52	299	5346
53	300	5272
54	302	5200
55	304	5131
56	306	5063
57	308	5008
58	310	4949
59	312	4891
60	314	4839
61	316	4782
62	317	4727
63	319	4673
64	321	4621
65	322	4570
66	325	4531
67	327	4483
68	328	4438
69	330	4394
70	332	4350
71	334	4307
72	335	4266
73	337	4225
74	340	4196
75	342	4162
76	344	4127
77	346	4099
78	348	4066
79	350	4034
80	352	4001
81	354	3972
82	357	3946
83	359	3918
84	361	3889
85	363	3858
86	365	3832
87	367	3805
88	369	3780
89	371	3756
90	373	3734
91	376	3711
92	378	3691
93	380	3664
94	382	3641
95	383	3615
96	385	3589
97	388	3571
98	390	3552
99	392	3533
100	394	3514
101	396	3492
102	398	3470
103	400	3448
104	402	3430
105	404	3411
106	406	3392
107	408	3371
108	409	3350
109	411	3329
110	413	3309
111	414	3289
112	416	3271
113	418	3256
114	420	3239
115	422	3220
116	424	3202
117	426	3184
118	427	3166
119	429	3149
120	431	3133
121	433	3116
122	435	3103
123	436	3086
124	438	3069
125	440	3053
126	441	3037
127	443	3021
128	445	3005
129	447	2991
130	448	2976
131	451	2966
132	452	2952
133	454	2939
134	456	2925
135	458	2911
136	459	2897
137	461	2884
138	463	2871
139	465	2857
140	467	2847
141	469	2835
142	470	2822
143	472	2808
144	473	2793
145	475	2781
146	477	2770
147	479	2758
148	480	2746
149	483	2737
150	484	2726
151	486	2714
152	488	2703
153	489	2691
154	491	2680
155	493	2670
156	495	2658
157	496	2647
158	499	2640
159	501	2631
160	502	2620
161	504	2609
162	505	2598
163	507	2587
164	509	2577
165	510	2566
166	512	2558
167	514	2549
168	516	2540
169	518	2530
170	519	2520
171	521	2511
172	523	2503
173	525	2493
174	526	2484
175	529	2477
176	530	2468
177	532	2459
178	534	2449
179	535	2440
180	537	2432
181	539	2423
182	540	2414
183	542	2406
184	544	2399
185	546	2391
186	548	2382
187	549	2374
188	551	2366
189	553	2358
190	555	2350
191	556	2342
192	558	2334
193	560	2328
194	562	2321
195	563	2313
196	565	2305
197	567	2297
198	568	2289
199	570	2281
200	571	2273
201	573	2266
202	575	2258
203	577	2253
204	579	2247
205	581	2240
206	582	2233
207	584	2226
208	586	2219
209	588	2212
210	589	2205
211	591	2198
212	593	2194
213	595	2188
214	597	2182
215	599	2175
216	600	2168
217	602	2161
218	604	2154
219	605	2148
220	607	2142
221	609	2136
222	611	2130
223	613	2123
224	614	2117
225	616	2111
226	617	2104
227	619	2097
228	621	2091
229	622	2085
230	624	2080
231	626	2073
232	628	2067
233	629	2061
234	631	2055
235	633	2049
236	634	2043
237	636	2037
238	638	2031
239	640	2027
240	642	2022
241	644	2017
242	645	2012
243	647	2006
244	649	2000
245	650	1994
246	652	1989
247	654	1983
248	656	1979
249	658	1974
250	659	1969
251	661	1963
252	663	1957
253	664	1952
254	666	1946
255	668	1941
256	669	1936
257	671	1932
258	673	1927
259	675	1922
260	676	1916
261	678	1911
262	680	1905
263	681	1900
264	683	1895
265	685	1890
266	687	1886
267	689	1882
268	690	1877
269	692	1872
270	694	1867
271	695	1862
272	697	1857
273	699	1852
274	700	1847
275	702	1843
276	705	1840
277	706	1835
278	708	1830
279	710	1825
280	711	1821
281	713	1815
282	714	1811
283	716	1806
284	718	1802
285	720	1798
286	722	1794
287	723	1789
288	725	1784
289	727	1780
290	728	1775
291	730	1770
292	731	1766
293	733	1761
294	735	1758
295	737	1754
296	739	1750
297	741	1746
298	742	1741
299	744	1737
300	746	1732
301	748	1729
302	750	1727
303	752	1723
304	754	1719
305	756	1715
